Fecha,Generacion_(kWh)
01/05/2018 06:00,3.26
01/05/2018 07:00,16.66
01/05/2018 08:00,65.33
01/05/2018 09:00,148.75
01/05/2018 10:00,208.17
01/05/2018 11:00,245.6
01/05/2018 12:00,257.86
01/05/2018 13:00,245.36
01/05/2018 14:00,214.26
01/05/2018 15:00,118.34
01/05/2018 16:00,97.63
01/05/2018 17:00,11.29
01/05/2018 18:00,0.13
02/05/2018 06:00,3.25
02/05/2018 07:00,27.75
02/05/2018 08:00,110.71
02/05/2018 09:00,215.89
02/05/2018 10:00,258.09
02/05/2018 11:00,255.2
02/05/2018 12:00,257.93
02/05/2018 13:00,259.86
02/05/2018 14:00,219.83
02/05/2018 15:00,185.89
02/05/2018 16:00,71.44
02/05/2018 17:00,5.94
02/05/2018 18:00,0.01
03/05/2018 06:00,14.74
03/05/2018 07:00,59.22
03/05/2018 08:00,152.75
03/05/2018 09:00,160.39
03/05/2018 10:00,239.19
03/05/2018 11:00,256.97
03/05/2018 12:00,202.6
03/05/2018 13:00,136.67
03/05/2018 14:00,173.93
03/05/2018 15:00,71.51
03/05/2018 16:00,24.86
03/05/2018 17:00,5.14
03/05/2018 18:00,0.03
04/05/2018 06:00,8.68
04/05/2018 07:00,48.2
04/05/2018 08:00,157.78
04/05/2018 09:00,216.86
04/05/2018 10:00,185.53
04/05/2018 11:00,223.36
04/05/2018 12:00,236.54
04/05/2018 13:00,195.67
04/05/2018 14:00,83.22
04/05/2018 15:00,89.53
04/05/2018 16:00,23.58
04/05/2018 17:00,1.64
04/05/2018 18:00,0
05/05/2018 06:00,0.29
05/05/2018 07:00,15.97
05/05/2018 08:00,43.97
05/05/2018 09:00,55.14
05/05/2018 10:00,164.87
05/05/2018 11:00,214.6
05/05/2018 12:00,254.8
05/05/2018 13:00,255.69
05/05/2018 14:00,223.99
05/05/2018 15:00,142.95
05/05/2018 16:00,76.54
05/05/2018 17:00,12.72
05/05/2018 18:00,0.07
06/05/2018 06:00,10.07
06/05/2018 07:00,37.95
06/05/2018 08:00,72.6
06/05/2018 09:00,178.51
06/05/2018 10:00,196.8
06/05/2018 11:00,200.85
06/05/2018 12:00,178.22
06/05/2018 13:00,153.78
06/05/2018 14:00,59.04
06/05/2018 15:00,0.65
06/05/2018 16:00,0.05
06/05/2018 17:00,0.01
06/05/2018 18:00,0
07/05/2018 06:00,12.3
07/05/2018 07:00,36.85
07/05/2018 08:00,72.95
07/05/2018 09:00,161.54
07/05/2018 10:00,244.48
07/05/2018 11:00,236.93
07/05/2018 12:00,242.45
07/05/2018 13:00,255.02
07/05/2018 14:00,152.71
07/05/2018 15:00,10.89
07/05/2018 16:00,12.26
07/05/2018 17:00,5.63
07/05/2018 18:00,0
08/05/2018 06:00,3.9
08/05/2018 07:00,31.11
08/05/2018 08:00,33.78
08/05/2018 09:00,36.58
08/05/2018 10:00,84.94
08/05/2018 11:00,115.49
08/05/2018 12:00,131.87
08/05/2018 13:00,133.52
08/05/2018 14:00,167.81
08/05/2018 15:00,91.37
08/05/2018 16:00,61.64
08/05/2018 17:00,7.01
08/05/2018 18:00,0.04
09/05/2018 06:00,2.93
09/05/2018 07:00,42.55
09/05/2018 08:00,108.12
09/05/2018 09:00,136.92
09/05/2018 10:00,210.22
09/05/2018 11:00,270.94
09/05/2018 12:00,252.84
09/05/2018 13:00,251.33
09/05/2018 14:00,196.91
09/05/2018 15:00,70.61
09/05/2018 16:00,42.45
09/05/2018 17:00,7.14
09/05/2018 18:00,0.01
10/05/2018 06:00,5.81
10/05/2018 07:00,39.86
10/05/2018 08:00,79.42
10/05/2018 09:00,112.61
10/05/2018 10:00,157.87
10/05/2018 11:00,192.74
10/05/2018 12:00,172.51
10/05/2018 13:00,209.51
10/05/2018 14:00,213.42
10/05/2018 15:00,124.13
10/05/2018 16:00,48.16
10/05/2018 17:00,11.53
10/05/2018 18:00,0.07
11/05/2018 06:00,7.1
11/05/2018 07:00,28.31
11/05/2018 08:00,100.55
11/05/2018 09:00,154.99
11/05/2018 10:00,252.82
11/05/2018 11:00,217.49
11/05/2018 12:00,262.22
11/05/2018 13:00,244.28
11/05/2018 14:00,172.95
11/05/2018 15:00,108.16
11/05/2018 16:00,18.82
11/05/2018 17:00,27.2
11/05/2018 18:00,0.38
12/05/2018 06:00,5.67
12/05/2018 07:00,44.55
12/05/2018 08:00,125.16
12/05/2018 09:00,151.38
12/05/2018 10:00,206.8
12/05/2018 11:00,155.81
12/05/2018 12:00,232.06
12/05/2018 13:00,218.46
12/05/2018 14:00,152.09
12/05/2018 15:00,167.08
12/05/2018 16:00,97.02
12/05/2018 17:00,4.19
12/05/2018 18:00,0.03
13/05/2018 06:00,3.44
13/05/2018 07:00,17.5
13/05/2018 08:00,39.98
13/05/2018 09:00,60.51
13/05/2018 10:00,102.15
